ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000847.SH,20250818,3367.8878,3373.0545,3387.9432,3358.931,3355.3705,12.5173,0.3731,49521943.0,94042777.0
000849.SH,20250818,11196.1111,11176.9638,11400.1932,11047.108,11119.0569,77.0542,0.693,50127801.0,105553926.6
000851.SH,20250818,18593.674,18524.6229,18735.5276,18461.856,18402.8432,190.8308,1.037,44899775.0,66265309.2
000852.SH,20250818,7237.6018,7158.5311,7267.9813,7143.0663,7117.5009,120.1009,1.6874,379831263.0,606867233.382
000853.SH,20250818,1435.251,1433.4842,1446.8481,1428.1036,1428.1575,7.0935,0.4967,31638898.0,128777857.7
000854.SH,20250818,4771.0316,4771.7742,4804.1715,4716.8004,4735.697,35.3346,0.7461,40123331.0,65194205.2
000855.SH,20250818,1494.7533,1487.6491,1505.5291,1482.9765,1481.7469,13.0064,0.8778,383024737.41,852161981.167
000856.SH,20250818,6262.2887,6217.8532,6300.592,6203.3211,6187.993,74.2957,1.2006,49271425.0,91860321.3
000857.SH,20250818,11336.8035,11252.7684,11338.8738,11225.973,11204.756,132.0475,1.1785,12853402.0,31099866.3
000858.SH,20250818,8794.7089,8592.3743,8864.8752,8511.6121,8523.4688,271.2401,3.1823,41300672.0,148705189.3
000859.CSI,20250818,1655.5667,1655.6734,1666.1426,1651.9868,1652.9869,2.5798,0.1561,102518098.46,129763107.055
000860.CSI,20250818,1167.8962,1168.3785,1176.022,1164.2561,1162.4353,5.4609,0.4698,80394770.65,104726054.496
000861.CSI,20250818,2486.4058,2481.007,2502.5524,2478.2501,2473.9055,12.5003,0.5053,79103261.82,103522512.525
000863.SH,20250818,3023.8087,2994.0877,3027.7692,2981.5473,2989.6986,34.1101,1.1409,7214671.0,33396375.9
000865.SH,20250818,1466.4537,1467.32,1478.273,1464.1123,1461.4529,5.0008,0.3422,30919648.0,45373471.4
000867.SH,20250818,2862.465,2857.5967,2880.872,2855.4773,2850.0014,12.4636,0.4373,50982367.64,48033273.717
000869.SH,20250818,4003.0908,4049.5427,4052.5009,4003.0908,4062.0044,-58.9136,-1.4504,14574652.17,11817545.209
000888.SH,20250818,4241.0934,4223.4237,4261.4702,4211.9166,4205.4517,35.6417,0.8475,776016669.0,1133941943.2
000891.CSI,20250818,1679.5722,1654.5154,1690.5741,1648.9402,1643.8864,35.6858,2.1708,704701726.96,1542961509.243
