TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
601020.SH,SH,华钰矿业,24.14,6.343612194061279,2220429728,19793947809.72,19793947954.56,11.159696578979492,,95624.0,,,5,有色金属,0/0,Z,20250820,,,9.471365928649902
002378.SZ,SZ,章源钨业,10.5,3.550295829772949,1045120176,12548440632.0,12614885472.0,8.285707473754883,,100036.0,,,1,小金属,0/0,Z,20250820,,,11.932938575744629
001390.SZ,SZ,古麒绒材,26.33,7.076047420501709,576368832,1290139641.51,5266000000.0,44.858985900878906,,111151.0,,,1,纺织服装,0/0,Z,20250820,,,9.556730270385742
002186.SZ,SZ,全 聚 德,12.82,8.003369331359863,525623040,3929475353.1600003,3934734706.88,13.535797119140625,,111236.0,,,4,旅游酒店,0/0,Z,20250820,,,10.614995956420898
000610.SZ,SZ,西安旅游,13.67,5.7231245040893555,689759536,3219343698.98,3236343806.67,21.469161987304688,,130012.0,,,1,旅游酒店,0/0,Z,20250820,,,10.054137229919434
000800.SZ,SZ,一汽解放,7.54,6.6478071212768555,1082788912,37103027459.42,37106458920.96,2.905595541000366,,130806.0,,,2,汽车整车,0/0,Z,20250820,,,10.608203887939453
001318.SZ,SZ,阳光乳业,15.32,6.16770601272583,536381168,4330351200.0,4330351200.0,12.54145622253418,,132557.0,,,2,食品饮料,0/0,Z,20250820,,,10.048510551452637
688521.SH,SH,芯原股份,147.04,15.524827003479004,4247034160,73645400417.28,77300880691.2,6.1777472496032715,,133614.0,,,2,半导体,0/0,Z,20250820,,,24.93714714050293
600346.SH,SH,恒力石化,16.5,9.926715850830078,1433645904,116145146469.0,116145148416.0,1.2773505449295044,,140820.0,,,7,化纤行业,0/0,Z,20250820,,,10.393071174621582
002815.SZ,SZ,崇达技术,16.55,4.6144118309021,2268192912,10602727792.75,17894715833.600002,22.387426376342773,,144921.0,,,1,电子元件,0/0,Z,20250820,,,18.07838249206543
